id,pertanyaan,jawaban
1,Dari mana tanah untuk isian baby polybag sebaiknya diambil?,"Tanah untuk isian baby polybag sebaiknya diambil dari areal yang bebas hama dan penyakit terutama ganoderma."
2,Berapa dosis pupuk RP untuk campuran tanah pembibitan?,"Dosis pupuk RP yang dicampurkan adalah 5 kg per ton tanah."
3,Apa tujuan pemberian mulsa pada pembibitan kelapa sawit?,"Mulsa digunakan untuk mengurangi penguapan, menekan pertumbuhan gulma, mengurangi erosi, dan mengatur suhu tanah."
4,Apa yang dimaksud pembibitan double stage pada kelapa sawit?,"Pembibitan double stage adalah sistem pembibitan dua tahap yaitu pre nursery dan main nursery."
5,Kapan bibit dipindahkan dari pre nursery ke main nursery?,"Bibit dipindahkan setelah berdaun 3–4 helai atau berumur sekitar 3 bulan."
6,Seberapa sering penyiangan gulma dilakukan pada pembibitan sawit?,"Penyiangan gulma dilakukan setiap 2 minggu sekali secara manual."
7,Hama apa saja yang umum menyerang bibit kelapa sawit?,"Hama yang umum menyerang adalah serangga pemakan daun, semut, rayap, jangkrik, siput, dan tikus."
8,Kapan pemupukan bibit sawit mulai dilakukan?,"Pemupukan dimulai 4 minggu setelah tanam saat bibit memiliki 1 helai daun."
9,Pupuk apa yang digunakan pada tahap pre nursery?,"Pupuk yang digunakan adalah urea dan NPK 15-15-6-4."
10,Pupuk apa yang digunakan pada tahap main nursery?,"Pupuk yang digunakan adalah NPK 15-15-6-4, NPK 12-12-17-2, dan Kieserite."
11,Apa ciri penanaman sawit yang kurang baik?,"Ciri penanaman kurang baik adalah pelepah bawah cepat mengering, tanaman tampak kuning, dan pertumbuhan tidak seragam."
12,Bentuk jarak tanam ideal pada kelapa sawit adalah apa?,"Bentuk jarak tanam ideal adalah segitiga sama sisi."
13,Mengapa kerapatan tanaman sawit perlu diperhatikan?,"Kerapatan tanaman mempengaruhi penyerapan unsur hara, intensitas cahaya, dan produksi tanaman."
14,Apa fungsi pemancangan pada penanaman sawit?,"Pemancangan dilakukan untuk mengatur letak tanaman dan jarak antar barisan agar teratur."
15,Arah barisan tanaman sawit umumnya menghadap ke mana?,"Arah barisan tanaman sawit umumnya Utara–Selatan."
16,Berapa dosis Trichoderma pada areal Ganoderma?,"Dosis Trichoderma yang diberikan adalah 200 gram per lubang tanam."
17,Kapan lubang tanam dibuat sebelum penanaman?,"Lubang tanam dibuat sekitar satu bulan sebelum penanaman."
18,Berapa ukuran lubang tanam pada areal olah tanah kimia selektif?,"Ukuran lubang tanam adalah 90 x 90 x 60 cm."
19,Pada bulan apa penanaman sawit di areal replanting dilakukan?,"Penanaman dilakukan pada musim hujan kecil yaitu Mei dan Juni."
20,Berapa dosis pupuk RP saat penanaman bibit sawit?,"Dosis pupuk RP saat penanaman bibit sawit adalah 400 gram."